time	V(15V_0mH_Ea,15V_0mH_Eb)	V(15V_0mH_Ea,15V_0mH_Ec)	V(15V_0mH_Eb,15V_0mH_Ec)	V(15V_4.33mH_Ea,15V_4.33mH_Eb)	V(15V_4.33mH_Ea,15V_4.33mH_Ec)	V(15V_4.33mH_Eb,15V_4.33mH_Ec)	V(15V_8.66mH_Ea,15V_8.66mH_Eb)	V(15V_8.66mH_Ea,15V_8.66mH_Ec)	V(15V_8.66mH_Eb,15V_8.66mH_Ec)	V(20V_0mH_Ea,20V_0mH_Eb)	V(20V_0mH_Ea,20V_0mH_Ec)	V(20V_0mH_Eb,20V_0mH_Ec)	V(20V_4.33mH_Ea,20V_4.33mH_Eb)	V(20V_4.33mH_Ea,20V_4.33mH_Ec)	V(20V_4.33mH_Eb,20V_4.33mH_Ec)	V(20V_8.66mH_Ea,20V_8.66mH_Eb)	V(20V_8.66mH_Ea,20V_8.66mH_Ec)	V(20V_8.66mH_Eb,20V_8.66mH_Ec)	V(25V_0mH_Ea,25V_0mH_Eb)	V(25V_0mH_Ea,25V_0mH_Ec)	V(25V_0mH_Eb,25V_0mH_Ec)	V(25V_4.33mH_Ea,25V_4.33mH_Eb)	V(25V_4.33mH_Ea,25V_4.33mH_Ec)	V(25V_4.33mH_Eb,25V_4.33mH_Ec)	V(25V_8.66mH_Ea,25V_8.66mH_Eb)	V(25V_8.66mH_Ea,25V_8.66mH_Ec)	V(25V_8.66mH_Eb,25V_8.66mH_Ec)	V(30V_4.33mH_Ea,30V_4.33mH_Eb)	V(30V_4.33mH_Ea,30V_4.33mH_Ec)	V(30V_4.33mH_Eb,30V_4.33mH_Ec)	V(30V_8.66mH_Ea,30V_8.66mH_Eb)	V(30V_8.66mH_Ea,30V_8.66mH_Ec)	V(30V_8.66mH_Eb,30V_8.66mH_Ec)	V(30V_Ea,30V_Eb)	V(30V_Ea,30V_Ec)	V(30V_Eb,30V_Ec)	I(15v_0mh_l1)	I(15v_0mh_l2)	I(15v_0mh_l3)	I(15v_4.33mh_l1)	I(15v_4.33mh_l2)	I(15v_4.33mh_l3)	I(15v_8.66mh_l1)	I(15v_8.66mh_l2)	I(15v_8.66mh_l3)	I(20v_0mh_l1)	I(20v_0mh_l2)	I(20v_0mh_l3)	I(20v_4.33mh_l1)	I(20v_4.33mh_l2)	I(20v_4.33mh_l3)	I(20v_8.66mh_l1)	I(20v_8.66mh_l2)	I(20v_8.66mh_l3)	I(25v_0mh_l1)	I(25v_0mh_l2)	I(25v_0mh_l3)	I(25v_4.33mh_l1)	I(25v_4.33mh_l2)	I(25v_4.33mh_l3)	I(25v_8.66mh_l1)	I(25v_8.66mh_l2)	I(25v_8.66mh_l3)	I(30v_0mh_l1)	I(30v_0mh_l2)	I(30v_0mh_l3)	I(30v_4.33mh_l1)	I(30v_4.33mh_l2)	I(30v_4.33mh_l3)	I(30v_8.66mh_l1)	I(30v_8.66mh_l2)	I(30v_8.66mh_l3)
0.000000000000000e+000	-1.321251e+001	1.214891e+001	2.536142e+001	-1.313518e+001	1.218583e+001	2.532101e+001	-1.306010e+001	1.223302e+001	2.529312e+001	-1.761667e+001	1.619855e+001	3.381522e+001	-1.751357e+001	1.624777e+001	3.376134e+001	-1.741347e+001	1.631069e+001	3.372416e+001	-2.202084e+001	2.024818e+001	4.226903e+001	-2.189196e+001	2.030972e+001	4.220168e+001	-2.176684e+001	2.038836e+001	4.215520e+001	-2.627035e+001	2.437166e+001	5.064202e+001	-2.612021e+001	2.446603e+001	5.058624e+001	-2.642501e+001	2.429782e+001	5.072283e+001	2.363547e-002	-8.571982e-001	8.335628e-001	1.086017e-001	-8.897467e-001	7.811450e-001	1.887712e-001	-9.077749e-001	7.190037e-001	3.151396e-002	-1.142931e+000	1.111417e+000	1.448023e-001	-1.186329e+000	1.041527e+000	2.516949e-001	-1.210366e+000	9.586716e-001	3.939245e-002	-1.428664e+000	1.389271e+000	1.810028e-001	-1.482911e+000	1.301908e+000	3.146186e-001	-1.512958e+000	1.198339e+000	4.727094e-002	-1.714396e+000	1.667126e+000	2.172034e-001	-1.779493e+000	1.562290e+000	3.775424e-001	-1.815550e+000	1.438007e+000
5.859375000000222e-005	-1.281037e+001	1.255571e+001	2.536607e+001	-1.273310e+001	1.259137e+001	2.532447e+001	-1.265784e+001	1.263745e+001	2.529529e+001	-1.708049e+001	1.674094e+001	3.382143e+001	-1.697747e+001	1.678849e+001	3.376595e+001	-1.687712e+001	1.684993e+001	3.372705e+001	-2.135061e+001	2.092618e+001	4.227679e+001	-2.122183e+001	2.098561e+001	4.220745e+001	-2.109641e+001	2.106241e+001	4.215882e+001	-2.546620e+001	2.518273e+001	5.064893e+001	-2.531569e+001	2.527489e+001	5.059058e+001	-2.562073e+001	2.511141e+001	5.073215e+001	5.659082e-003	-8.483653e-001	8.427063e-001	9.081324e-002	-8.823639e-001	7.915507e-001	1.714304e-001	-9.018998e-001	7.304695e-001	7.545444e-003	-1.131154e+000	1.123608e+000	1.210843e-001	-1.176485e+000	1.055401e+000	2.285739e-001	-1.202533e+000	9.739593e-001	9.431805e-003	-1.413942e+000	1.404510e+000	1.513554e-001	-1.470607e+000	1.319251e+000	2.857173e-001	-1.503166e+000	1.217449e+000	1.131816e-002	-1.696731e+000	1.685413e+000	1.816265e-001	-1.764728e+000	1.583101e+000	3.428608e-001	-1.803800e+000	1.460939e+000
2.929687499999972e-004	-1.115774e+001	1.413364e+001	2.529137e+001	-1.108105e+001	1.416412e+001	2.524517e+001	-1.100535e+001	1.420560e+001	2.521095e+001	-1.487698e+001	1.884485e+001	3.372183e+001	-1.477473e+001	1.888549e+001	3.366022e+001	-1.467380e+001	1.894080e+001	3.361460e+001	-1.859622e+001	2.355606e+001	4.215228e+001	-1.846842e+001	2.360686e+001	4.207528e+001	-1.834225e+001	2.367601e+001	4.201826e+001	-2.216210e+001	2.832823e+001	5.049033e+001	-2.201070e+001	2.841121e+001	5.042191e+001	-2.231547e+001	2.826727e+001	5.058274e+001	-6.613113e-002	-8.099801e-001	8.761112e-001	1.945623e-002	-8.496395e-001	8.301833e-001	1.015619e-001	-8.751209e-001	7.735590e-001	-8.817484e-002	-1.079973e+000	1.168148e+000	2.594164e-002	-1.132853e+000	1.106911e+000	1.354159e-001	-1.166828e+000	1.031412e+000	-1.102185e-001	-1.349967e+000	1.460185e+000	3.242705e-002	-1.416066e+000	1.383639e+000	1.692699e-001	-1.458535e+000	1.289265e+000	-1.322623e-001	-1.619960e+000	1.752222e+000	3.891245e-002	-1.699279e+000	1.660367e+000	2.031239e-001	-1.750242e+000	1.547118e+000
6.835937500000028e-004	-8.286335e+000	1.660011e+001	2.488644e+001	-8.211305e+000	1.662166e+001	2.483296e+001	-8.135702e+000	1.665505e+001	2.479075e+001	-1.104845e+001	2.213347e+001	3.318192e+001	-1.094841e+001	2.216221e+001	3.311062e+001	-1.084760e+001	2.220673e+001	3.305434e+001	-1.381056e+001	2.766684e+001	4.147740e+001	-1.368551e+001	2.770276e+001	4.138827e+001	-1.355950e+001	2.775842e+001	4.131792e+001	-1.642261e+001	3.324332e+001	4.966593e+001	-1.627140e+001	3.331010e+001	4.958150e+001	-1.657267e+001	3.320021e+001	4.977288e+001	-1.847505e-001	-7.371728e-001	9.219233e-001	-9.937996e-002	-7.858227e-001	8.852027e-001	-1.571044e-002	-8.209059e-001	8.366164e-001	-2.463340e-001	-9.828971e-001	1.229231e+000	-1.325066e-001	-1.047764e+000	1.180270e+000	-2.094725e-002	-1.094541e+000	1.115489e+000	-3.079174e-001	-1.228621e+000	1.536539e+000	-1.656333e-001	-1.309705e+000	1.475338e+000	-2.618406e-002	-1.368177e+000	1.394361e+000	-3.695009e-001	-1.474346e+000	1.843847e+000	-1.987599e-001	-1.571645e+000	1.770405e+000	-3.142088e-002	-1.641812e+000	1.673233e+000
1.074218750000008e-003	-5.291702e+000	1.881976e+001	2.411146e+001	-5.219291e+000	1.883214e+001	2.405143e+001	-5.144783e+000	1.885697e+001	2.400175e+001	-7.055603e+000	2.509301e+001	3.214862e+001	-6.959055e+000	2.510951e+001	3.206857e+001	-6.859712e+000	2.514262e+001	3.200233e+001	-8.819504e+000	3.136627e+001	4.018577e+001	-8.698818e+000	3.138689e+001	4.008571e+001	-8.574639e+000	3.142828e+001	4.000292e+001	-1.043858e+001	3.766427e+001	4.810285e+001	-1.028957e+001	3.771393e+001	4.800350e+001	-1.058340e+001	3.763952e+001	4.822293e+001	-3.006235e-001	-6.534037e-001	9.540272e-001	-2.167294e-001	-7.103270e-001	9.270564e-001	-1.327317e-001	-7.544985e-001	8.872302e-001	-4.008314e-001	-8.712049e-001	1.272036e+000	-2.889726e-001	-9.471027e-001	1.236075e+000	-1.769756e-001	-1.005998e+000	1.182974e+000	-5.010392e-001	-1.089006e+000	1.590045e+000	-3.612157e-001	-1.183878e+000	1.545094e+000	-2.212195e-001	-1.257497e+000	1.478717e+000	-6.012471e-001	-1.306807e+000	1.908054e+000	-4.334588e-001	-1.420654e+000	1.854113e+000	-2.654634e-001	-1.508997e+000	1.774460e+000
1.464843750000014e-003	-2.217762e+000	2.075632e+001	2.297408e+001	-2.149528e+000	2.075920e+001	2.290872e+001	-2.077344e+000	2.077508e+001	2.285243e+001	-2.957015e+000	2.767509e+001	3.063210e+001	-2.866036e+000	2.767893e+001	3.054497e+001	-2.769793e+000	2.770011e+001	3.046990e+001	-3.696269e+000	3.459386e+001	3.829013e+001	-3.582544e+000	3.459866e+001	3.818121e+001	-3.462241e+000	3.462513e+001	3.808738e+001	-4.299055e+000	4.151839e+001	4.581745e+001	-4.154688e+000	4.155016e+001	4.570485e+001	-4.435523e+000	4.151263e+001	4.594816e+001	-4.119679e-001	-5.598187e-001	9.717866e-001	-3.308232e-001	-6.241460e-001	9.549692e-001	-2.477625e-001	-6.767377e-001	9.245002e-001	-5.492905e-001	-7.464249e-001	1.295715e+000	-4.410976e-001	-8.321947e-001	1.273292e+000	-3.303500e-001	-9.023170e-001	1.232667e+000	-6.866131e-001	-9.330311e-001	1.619644e+000	-5.513719e-001	-1.040243e+000	1.591615e+000	-4.129376e-001	-1.127896e+000	1.540834e+000	-8.239357e-001	-1.119637e+000	1.943573e+000	-6.616463e-001	-1.248292e+000	1.909938e+000	-4.955251e-001	-1.353475e+000	1.849000e+000
1.855468750000019e-003	8.893590e-001	2.238057e+001	2.149121e+001	9.526696e-001	2.237394e+001	2.142127e+001	1.021330e+000	2.238058e+001	2.135925e+001	1.185813e+000	2.984076e+001	2.865495e+001	1.270226e+000	2.983191e+001	2.856169e+001	1.361773e+000	2.984078e+001	2.847900e+001	1.482265e+000	3.730095e+001	3.581868e+001	1.587782e+000	3.728990e+001	3.570211e+001	1.702217e+000	3.730097e+001	3.559875e+001	1.905339e+000	4.474787e+001	4.284253e+001	2.042660e+000	4.476116e+001	4.271850e+001	1.778718e+000	4.476114e+001	4.298242e+001	-5.171095e-001	-4.578189e-001	9.749284e-001	-4.399318e-001	-5.285880e-001	9.685198e-001	-3.590603e-001	-5.888067e-001	9.478670e-001	-6.894794e-001	-6.104252e-001	1.299905e+000	-5.865757e-001	-7.047840e-001	1.291360e+000	-4.787471e-001	-7.850757e-001	1.263823e+000	-8.618492e-001	-7.630315e-001	1.624881e+000	-7.332197e-001	-8.809800e-001	1.614200e+000	-5.984339e-001	-9.813445e-001	1.579778e+000	-1.034219e+000	-9.156379e-001	1.949857e+000	-8.798636e-001	-1.057176e+000	1.937040e+000	-7.181206e-001	-1.177613e+000	1.895734e+000
2.246093750000025e-003	3.983336e+000	2.366828e+001	1.968494e+001	4.040999e+000	2.365236e+001	1.961136e+001	4.105368e+000	2.364974e+001	1.954437e+001	5.311115e+000	3.155770e+001	2.624659e+001	5.388000e+000	3.153648e+001	2.614848e+001	5.473823e+000	3.153299e+001	2.605917e+001	6.638893e+000	3.944713e+001	3.280824e+001	6.734999e+000	3.942060e+001	3.268560e+001	6.842278e+000	3.941623e+001	3.257396e+001	8.081998e+000	4.730472e+001	3.922273e+001	8.210735e+000	4.729948e+001	3.908875e+001	7.966673e+000	4.733656e+001	3.936988e+001	-6.144803e-001	-3.489245e-001	9.634048e-001	-5.424319e-001	-4.250676e-001	9.674995e-001	-4.649624e-001	-4.920121e-001	9.569745e-001	-8.193070e-001	-4.652327e-001	1.284540e+000	-7.232425e-001	-5.667568e-001	1.289999e+000	-6.199498e-001	-6.560161e-001	1.275966e+000	-1.024134e+000	-5.815409e-001	1.605675e+000	-9.040532e-001	-7.084460e-001	1.612499e+000	-7.749373e-001	-8.200201e-001	1.594957e+000	-1.228961e+000	-6.978491e-001	1.926810e+000	-1.084864e+000	-8.501352e-001	1.934999e+000	-9.299248e-001	-9.840242e-001	1.913949e+000
2.636718750000031e-003	7.017338e+000	2.459999e+001	1.758265e+001	7.068007e+000	2.457488e+001	1.750688e+001	7.126958e+000	2.456302e+001	1.743607e+001	9.356451e+000	3.279999e+001	2.344354e+001	9.424009e+000	3.276651e+001	2.334250e+001	9.502611e+000	3.275070e+001	2.324809e+001	1.169556e+001	4.099999e+001	2.930442e+001	1.178001e+001	4.095814e+001	2.917813e+001	1.187826e+001	4.093837e+001	2.906011e+001	1.413601e+001	4.914977e+001	3.501375e+001	1.425392e+001	4.912605e+001	3.487213e+001	1.403468e+001	4.919998e+001	3.516531e+001	-7.026073e-001	-2.347848e-001	9.373921e-001	-6.367722e-001	-3.151574e-001	9.519296e-001	-5.638734e-001	-3.878158e-001	9.516891e-001	-9.368098e-001	-3.130464e-001	1.249856e+000	-8.490296e-001	-4.202099e-001	1.269240e+000	-7.518311e-001	-5.170878e-001	1.268919e+000	-1.171012e+000	-3.913080e-001	1.562320e+000	-1.061287e+000	-5.252624e-001	1.586549e+000	-9.397889e-001	-6.463597e-001	1.586149e+000	-1.405215e+000	-4.695696e-001	1.874784e+000	-1.273544e+000	-6.303148e-001	1.903859e+000	-1.127747e+000	-7.756315e-001	1.903378e+000
3.027343750000036e-003	9.945727e+000	2.516166e+001	1.521594e+001	9.988914e+000	2.512777e+001	1.513886e+001	1.004144e+001	2.510678e+001	1.506534e+001	1.326097e+001	3.354889e+001	2.028792e+001	1.331855e+001	3.350370e+001	2.018515e+001	1.338859e+001	3.347571e+001	2.008712e+001	1.657621e+001	4.193611e+001	2.535990e+001	1.664819e+001	4.187962e+001	2.523143e+001	1.673574e+001	4.184464e+001	2.510890e+001	1.997783e+001	5.025555e+001	3.027772e+001	2.008289e+001	5.021357e+001	3.013068e+001	1.989145e+001	5.032333e+001	3.043188e+001	-7.801642e-001	-1.171158e-001	8.972801e-001	-7.215300e-001	-2.005119e-001	9.220418e-001	-6.542978e-001	-2.777929e-001	9.320907e-001	-1.040219e+000	-1.561544e-001	1.196373e+000	-9.620399e-001	-2.673492e-001	1.229389e+000	-8.723970e-001	-3.703905e-001	1.242788e+000	-1.300274e+000	-1.951930e-001	1.495467e+000	-1.202550e+000	-3.341865e-001	1.536736e+000	-1.090496e+000	-4.629882e-001	1.553484e+000	-1.560328e+000	-2.342316e-001	1.794560e+000	-1.443060e+000	-4.010237e-001	1.844084e+000	-1.308596e+000	-5.555858e-001	1.864181e+000
